wkt_geom,id,amenity,name,source,student:count,municipality,idp:camp_site,idp:status_20150427
"Polygon ((85.54208859999999959 27.72434069999999906, 85.54227310000000273 27.72428749999999908, 85.54246799999999951 27.72417280000000162, 85.54246070000000657 27.72408820000000063, 85.54231819999999686 27.7238244999999992, 85.5421434000000005 27.72374080000000163, 85.54193909999999335 27.72364460000000008, 85.54175979999999413 27.72364419999999896, 85.54177669999999978 27.72385320000000064, 85.54184449999999629 27.72403489999999948, 85.54195160000000442 27.72417580000000115, 85.54208859999999959 27.72434069999999906))",135766304,school,Shree Baluwa Secondary School,,,,,
"Polygon ((85.53401510000000485 27.71252589999999927, 85.5338229000000041 27.7123381000000002, 85.53348320000000626 27.71254860000000164, 85.53343900000000133 27.7126841000000006, 85.53344730000000595 27.71274469999999823, 85.53354059999999492 27.71276789999999934, 85.53378680000000145 27.71266740000000084, 85.53401510000000485 27.71252589999999927))",135956140,school,Shree Janasewa Primary School,,,,,
"Polygon ((85.30682509999999752 27.71308910000000125, 85.30698719999999469 27.71284539999999907, 85.30705489999999713 27.71287979999999962, 85.30714120000000378 27.71274349999999842, 85.30715130000000102 27.71267440000000093, 85.30730079999999305 27.71266260000000159, 85.30730669999999805 27.71268799999999999, 85.30731980000000192 27.71268969999999854, 85.30732620000000566 27.7127586000000008, 85.30759790000000464 27.71274959999999865, 85.30761510000000669 27.71284899999999851, 85.30765239999999494 27.71310989999999919, 85.30757189999999923 27.71313560000000109, 85.30756630000000484 27.71331500000000148, 85.30746809999999414 27.71331659999999886, 85.307467299999999 27.71345859999999917, 85.30706360000000643 27.7134280000000004, 85.30706360000000643 27.71329160000000158, 85.30707909999999572 27.71314720000000165, 85.30694139999999948 27.71310430000000125, 85.30688600000000577 27.71310060000000064, 85.30682509999999752 27.71308910000000125))",136485908,college,Public Youth Campus,OpenDRI survey,1800,,,
"Polygon ((85.28383429999999521 27.70784989999999937, 85.28390860000000373 27.70839540000000056, 85.28418390000000215 27.70844100000000054, 85.28415880000000016 27.7086420000000011, 85.28478710000000262 27.70867510000000067, 85.28479819999999734 27.70850460000000126, 85.28484960000000115 27.70844740000000073, 85.28492730000000677 27.70844470000000115, 85.28492350000000499 27.70834160000000068, 85.28467019999999366 27.7083636999999996, 85.28462589999999466 27.70825220000000044, 85.28466240000000198 27.70813340000000125, 85.28452020000000289 27.7079898, 85.28445130000000063 27.70782330000000115, 85.28421960000000013 27.70788440000000108, 85.28383429999999521 27.70784989999999937))",136487938,college,Acme Engineering College,,,,,
"Polygon ((85.5332144999999997 27.69735319999999845, 85.53348549999999761 27.69734079999999921, 85.53368600000000299 27.69730110000000067, 85.53355360000000474 27.69694459999999836, 85.53314319999999782 27.69698899999999853, 85.5332144999999997 27.69735319999999845))",136601967,school,Setidevi Primary School,,,,,
"Polygon ((85.30521459999999934 27.70816160000000039, 85.30515239999999721 27.70812259999999938, 85.30513290000000381 27.7078844999999987, 85.30508639999999332 27.70765779999999978, 85.30565909999999974 27.70755760000000123, 85.30579160000000627 27.70799930000000089, 85.30568409999999346 27.7080069999999985, 85.30570229999999299 27.70806149999999946, 85.30563410000000601 27.70807939999999903, 85.30547620000000109 27.70811630000000036, 85.30521459999999934 27.70816160000000039))",138451637,hospital,Ayurvedic Hospital,,,,,
"Polygon ((85.42431729999999845 27.6768396999999986, 85.42426070000000493 27.67689670000000035, 85.42419130000000393 27.67668919999999844, 85.42397569999999973 27.67672239999999917, 85.42396449999999675 27.6766709000000013, 85.42407690000000287 27.67663440000000108, 85.42399260000000538 27.67635549999999967, 85.42424429999999802 27.67634299999999925, 85.42453829999999471 27.67630559999999917, 85.42479229999999291 27.67631019999999964, 85.42483439999999462 27.6763337000000007, 85.42486809999999764 27.6763155999999988, 85.42503859999999349 27.6763155999999988, 85.42504239999999527 27.67655140000000102, 85.42487739999999974 27.67656300000000158, 85.42486890000000699 27.6768143000000002, 85.42431729999999845 27.6768396999999986))",163260466,school,Everest  English School,OpenDRI survey,813,,,
"Polygon ((85.51051649999999427 27.62896860000000032, 85.51064580000000603 27.62896900000000144, 85.51078830000000153 27.62909670000000162, 85.51110509999999465 27.62899399999999872, 85.51131349999999998 27.62921090000000035, 85.51151079999999638 27.62916359999999827, 85.51166430000000673 27.62902809999999931, 85.5115983999999969 27.62874090000000038, 85.51156469999999388 27.62851260000000053, 85.51133529999999894 27.62831540000000174, 85.51088280000000452 27.62829770000000096, 85.51060060000000362 27.62808139999999923, 85.51006859999999676 27.62808319999999895, 85.51006769999999335 27.62823339999999916, 85.51026249999999607 27.62830059999999932, 85.50999459999999885 27.62869919999999979, 85.51051649999999427 27.62896860000000032))",163599016,hospital,Human Rehabilitation and Development Centre,,,,,
"Polygon ((85.31857530000000622 27.67584610000000112, 85.31909869999999785 27.67655429999999939, 85.31904939999999726 27.67664600000000164, 85.31779819999999859 27.677200899999999, 85.31772279999999853 27.67704799999999921, 85.31762899999999661 27.67690509999999904, 85.31755710000000192 27.67679550000000077, 85.3175832000000014 27.67675979999999925, 85.31754639999999767 27.67668979999999834, 85.31747439999999472 27.67664100000000005, 85.31742479999999773 27.6765825999999997, 85.31790150000000494 27.67626110000000139, 85.318009399999994 27.67619210000000152, 85.31830580000000452 27.6759966999999989, 85.31857530000000622 27.67584610000000112))",163689798,school,Madan Smarak Higher Secondary School,OpenDRI survey,500,,,
"Polygon ((85.34536919999999327 27.68781350000000074, 85.34538399999999569 27.68781680000000023, 85.34551229999999578 27.68784510000000054, 85.34564609999999618 27.68794690000000003, 85.34579859999999485 27.68807890000000071, 85.34569860000000574 27.68823799999999835, 85.34556790000000603 27.68816909999999964, 85.34548209999999813 27.68812159999999878, 85.34535870000000557 27.68830210000000136, 85.34528670000000261 27.68824539999999956, 85.3454416000000009 27.68805959999999899, 85.34543379999999502 27.68805439999999862, 85.34530829999999924 27.6879685000000002, 85.34530069999999569 27.68796329999999983, 85.34531889999999521 27.68793489999999835, 85.3453334999999953 27.68787890000000118, 85.34536919999999327 27.68781350000000074))",168839124,school,Glacier International Higher Secondary School,OpenDRI survey,550,,,
